id,preaward17,postaward17,dept17,inst17,preaward18,postaward18,dept18,inst18,chair,rasunit,awardnum,awardtotal,award,proposalnum,proposaltotal,proposal,doctortype,age,female,ethnicgrp,white,asian,yos,nMtg,dMtg,tenuretrack
36,1,3,2,2,1,1,2,1,0,7,2,0.1425,1,2,0.074002,1,2,47.9,0,3,0,1,16.5,0,0,0
37,2,2,2,2,3,1,2,1,0,1,0,0,0,1,0.39,1,2,39.4,0,0,1,0,13,0,0,1
38,2,1,2,2,3,3,3,3,0,5,1,0.244405,1,2,0.717,1,0,37.5,1,0,1,0,9.8,4,1,0
39,1,1,1,1,3,3,3,3,0,5,5,0.759647,1,8,1.600476,1,0,49.3,1,0,1,0,20.5,3,1,1
40,3,1,1,1,2,2,3,2,0,5,4,0.10706,1,1,0.10706,1,2,64.7,1,0,1,0,33,0,0,0
41,1,1,1,1,2,1,1,1,0,9,3,0.936798,1,4,2.114365,1,2,57.4,0,0,1,0,26.6,0,0,1
42,2,1,2,2,1,2,3,2,0,5,2,0.636577,1,3,0.998576,1,2,64.2,0,0,1,0,28.8,3,1,1
43,3,2,1,2,2,1,2,1,0,7,2,0.222797,1,5,0.981079,1,1,43.9,0,0,1,0,17.5,0,0,1
44,1,2,2,1,3,2,2,2,0,6,3,0.456533,1,1,0.122333,1,2,40.7,1,0,1,0,15,0,0,0
45,2,2,3,3,2,1,2,1,0,2,3,0.39,1,2,0.789706,1,1,67.7,0,0,1,0,36.6,1,1,1
46,1,1,1,1,1,1,2,1,0,1,1,0.016641,1,0,0,0,2,64.6,0,0,1,0,29.5,0,0,1
47,1,2,1,1,2,1,2,1,0,7,1,0,1,1,0.0475,1,3,44.1,0,0,1,0,6.2,0,0,0
48,2,1,2,1,3,3,3,3,0,4,3,0.415504,1,6,1.476385,1,1,56.5,0,3,0,1,19.8,0,0,0
49,2,3,2,2,3,3,3,3,0,6,2,0.058725,1,3,0.896577,1,2,49.9,1,3,0,1,20,0,0,1
50,3,3,2,2,2,2,1,1,0,2,2,0.601213,1,3,1.155377,1,1,58.7,0,0,1,0,20.7,1,1,1
51,2,2,2,1,1,1,1,1,0,5,12,2.241925,1,14,3.40221,1,1,67.8,0,0,1,0,37.9,4,1,1
52,1,1,1,1,3,3,3,2,0,3,3,1.308438,1,5,0.986908,1,1,56.7,0,0,1,0,20.5,0,0,1
53,2,2,2,1,1,3,1,1,0,7,3,0.226618,1,4,0.329844,1,2,41.3,0,3,0,1,10,0,0,0
54,2,3,3,2,1,1,2,1,0,2,10,6.091798,1,12,6.335342,1,1,68.7,0,3,0,1,22,4,1,1
55,2,3,2,2,1,1,1,1,0,6,4,0.088358,1,1,0.493987,1,2,52.6,0,0,1,0,20,0,0,0
56,2,2,2,2,1,1,3,1,0,4,15,0.769152,1,9,1.192491,1,3,60,0,0,1,0,22.8,0,0,1
57,1,2,1,2,2,1,2,1,0,8,2,1.034366,1,1,1.005,1,1,70.6,1,0,1,0,34,0,0,0
58,3,1,2,2,2,2,1,2,0,8,3,0.233898,1,3,0.233628,1,2,66.8,0,0,1,0,27.7,0,0,1
59,1,1,2,2,1,1,2,1,0,6,1,0.029283,1,1,0.234,1,3,47,1,1,0,0,5.9,0,0,0
60,2,2,3,2,2,2,1,1,0,6,1,0.01901,1,1,0.083329,1,0,63.4,0,0,1,0,0.1,0,0,1
61,2,1,1,1,3,3,3,2,0,5,19,1.516396,1,15,2.225879,1,2,63.5,0,2,0,0,18.4,1,1,0
62,2,1,1,1,2,2,2,2,0,2,1,0.351,1,1,0.351,1,2,54.4,0,3,0,1,13.2,1,1,1
63,3,2,2,2,3,2,2,3,0,1,5,0.114695,1,1,0.108258,1,2,40.9,0,3,0,1,8,0,0,0
64,1,1,2,2,3,3,3,3,0,4,3,0.858793,1,5,1.71302,1,2,69.6,0,0,1,0,24,0,0,0
65,1,1,2,1,2,2,2,2,0,4,0,0,0,2,0.056714,1,1,64.3,1,0,1,0,30.2,0,0,1
66,2,2,2,1,3,3,3,3,0,5,1,0.174036,1,1,0.173496,1,2,40.4,1,3,0,1,8.9,2,1,0
67,2,1,3,1,2,2,2,2,0,1,4,0.543405,1,5,0.920248,1,2,62.2,0,0,1,0,23,0,0,1
68,2,2,1,2,3,3,3,3,0,5,1,0.078,1,1,0.234,1,0,50.9,1,3,0,1,18.9,2,1,0
69,3,1,2,1,1,1,1,1,0,3,6,0.646724,1,7,1.512951,1,1,56.9,0,0,1,0,17.1,0,0,1
70,2,2,2,2,3,2,3,2,0,8,3,0.393225,1,4,0.681537,1,1,54.4,1,3,0,1,22.7,0,0,1
71,2,3,2,2,1,1,1,1,0,4,1,0.3432,1,4,0.535866,1,3,55.2,0,0,1,0,19.1,0,0,1
72,1,2,2,2,2,1,2,2,0,9,1,0.733315,1,2,1.007599,1,1,49.4,1,0,1,0,19.9,0,0,0
73,2,2,2,2,2,1,2,1,0,5,4,1.019531,1,4,1.426377,1,2,57.3,0,0,1,0,20.9,3,1,1
74,3,3,2,1,2,2,2,2,0,5,2,1.868996,1,3,2.349767,1,1,60.8,1,0,1,0,29,2,1,1
75,2,2,1,1,2,3,3,2,0,7,3,0.551492,1,9,2.026534,1,2,70.9,0,3,0,1,29.5,0,0,0
76,1,2,1,1,3,3,3,3,0,2,1,0.339229,1,5,1.291626,1,3,56.3,1,3,0,1,26.9,1,1,1
77,2,3,2,2,2,2,3,2,0,4,0,0,0,1,0.023483,1,1,65.6,0,0,1,0,35.9,0,0,1
78,2,2,2,2,3,3,3,3,0,5,5,0.997037,1,1,0.474999,1,2,50.7,1,0,1,0,22,4,1,0
79,1,1,1,2,1,2,1,1,0,1,2,0.020076,1,3,0.087216,1,1,49.4,0,0,1,0,25.5,0,0,0
80,2,2,2,2,2,2,2,2,0,2,3,1.068908,1,1,0.34074,1,1,70.6,0,0,1,0,40,1,1,1
81,2,1,2,1,2,1,2,1,0,4,0,0,0,1,0.117,1,1,65.1,0,0,1,0,24.8,0,0,1
82,1,1,2,1,2,2,1,2,0,1,1,0.149831,1,2,0.625953,1,1,50.3,1,0,1,0,17.3,0,0,0
83,3,1,3,1,2,2,2,2,0,3,1,0.01196,1,1,0.164639,1,1,71.8,0,0,1,0,32.9,0,0,1
84,2,1,2,1,3,3,3,3,0,5,4,0.065448,1,1,0.01,1,2,39.3,1,3,0,1,13,3,1,0
85,2,2,2,2,1,1,2,1,0,1,0,0,0,2,0.466162,1,1,53,1,0,1,0,27.2,0,0,0
86,1,3,2,2,2,2,2,2,0,6,11,0.182665,1,4,0.188697,1,2,41.2,0,3,0,1,6.9,0,0,0
87,2,2,1,1,1,2,3,3,0,5,1,0.0032,1,0,0,0,2,55.1,1,1,0,0,29,0,0,0
88,2,2,2,2,3,3,3,2,1,5,7,1.260017,1,5,1.636216,1,2,57.9,0,2,0,0,20.7,0,0,1
89,1,2,2,1,3,3,3,3,0,5,8,1.02887,1,3,0.561575,1,2,46.6,0,0,1,0,19.4,2,1,0
90,1,2,2,1,2,2,1,1,0,3,0,0,0,1,0.09989,1,1,67,0,0,1,0,30.9,0,0,1
91,2,2,2,1,3,1,2,1,0,7,1,2.434741,1,1,2.434741,1,2,66.2,0,0,1,0,24.4,0,0,1
92,1,1,2,1,2,2,2,2,0,4,0,0,0,2,0.203425,1,1,59,1,0,1,0,25.9,0,0,1
93,3,1,3,2,2,3,1,2,0,7,2,0.914614,1,4,2.213433,1,1,67.3,0,0,1,0,38.9,0,0,1
94,1,1,1,1,2,2,2,2,0,8,0,0,0,1,0.035044,1,3,58.8,1,0,1,0,25.5,0,0,0
95,2,1,2,2,2,2,2,2,0,1,1,0.105,1,1,0.035,1,2,51.9,0,1,0,0,19.3,0,0,0
96,2,1,2,1,2,2,2,2,0,6,2,0.32818,1,2,0.328708,1,2,47.3,1,0,1,0,16,0,0,0
97,2,2,1,3,2,1,2,2,0,4,3,3.589941,1,0,0,0,1,54.8,0,0,1,0,20.5,0,0,1
98,1,1,1,1,2,2,2,2,0,4,1,0.0027,1,0,0,0,2,51,0,0,1,0,14.6,0,0,0
99,3,3,2,3,2,1,1,1,0,2,1,0.44466,1,4,1.01345,1,1,51.9,0,0,1,0,18.9,2,1,1
100,1,1,1,1,3,3,3,3,0,5,5,0.045768,1,0,0,0,2,68.5,0,0,1,0,41,3,1,0
101,3,1,3,3,1,2,2,1,1,5,6,2.393332,1,9,13.035816,1,3,61.1,0,0,1,0,29,2,1,1
102,1,1,1,1,1,1,3,1,1,2,3,3.297697,1,3,3.535625,1,1,63.6,0,0,1,0,14.9,1,1,1
103,2,2,2,1,1,1,1,1,0,4,3,0.319425,1,4,0.929156,1,1,55.3,0,0,1,0,23,0,0,0
104,2,2,2,2,1,1,2,1,1,8,1,0.348045,1,1,0.332349,1,1,59.9,1,0,1,0,21.3,0,0,1
105,2,2,2,2,3,2,3,2,0,5,4,0.020005,1,1,0.183974,1,2,76.2,0,0,1,0,45.1,3,1,1
106,2,1,1,1,1,1,1,1,0,2,1,0.325288,1,2,0.618486,1,1,58.7,0,0,1,0,27.7,0,0,1
107,2,1,3,1,1,1,1,1,0,8,0,0,0,2,0.145349,1,1,58.2,0,0,1,0,22.9,0,0,0
108,1,1,1,1,1,2,2,2,0,4,5,0.643203,1,2,0.137628,1,1,69.5,0,0,1,0,30.3,0,0,1
109,2,1,2,1,1,1,2,1,0,7,4,0.048563,1,1,0.025,1,2,42.6,0,4,0,0,16,0,0,0
110,3,1,1,1,3,1,2,1,0,6,1,0.125173,1,2,0.150099,1,2,42.7,1,3,0,1,7.9,0,0,0
111,1,1,3,2,3,2,3,1,0,1,0,0,0,1,0.044869,1,1,54.2,1,0,1,0,27,0,0,0
112,2,2,1,1,1,1,2,1,0,4,1,0.016702,1,0,0,0,2,53,0,0,1,0,26,0,0,0
113,3,3,1,2,2,2,3,2,0,1,1,0.371383,1,2,0.058355,1,1,61.8,1,0,1,0,29.3,0,0,0
114,1,2,2,1,2,2,2,2,0,8,1,0.104122,1,1,0.105641,1,1,76.4,0,0,1,0,24.4,0,0,1
115,3,3,3,3,2,2,2,2,0,4,3,0.316937,1,3,0.677658,1,3,53.1,0,0,1,0,19,0,0,1
116,1,3,3,2,3,2,1,2,0,4,0,0,0,2,0.217902,1,1,53.3,0,0,1,0,19,0,0,1
117,3,3,3,3,3,3,3,3,0,5,3,0.021221,1,1,0.094767,1,2,40.2,0,3,0,1,7.9,2,1,0
118,1,1,2,1,1,2,2,1,0,3,1,0.3159,1,1,0.3159,1,1,77.1,0,0,1,0,24.9,0,0,1
119,2,3,2,3,2,1,3,1,0,6,1,0.351,1,4,1.208,1,1,48.5,0,3,0,1,19.3,0,0,1
120,2,2,1,2,2,3,2,2,0,5,13,0.156416,1,1,0.02818,1,2,53.2,0,0,1,0,22,2,1,0
121,1,3,2,2,3,3,3,3,0,5,5,0.41137,1,1,0.3565,1,2,58.2,0,0,1,0,25,3,1,0
122,1,1,1,1,1,1,1,1,0,2,0,0,0,4,0.910888,1,1,61.7,0,0,1,0,21.9,0,0,1
123,1,2,2,1,2,2,2,2,0,4,18,0.690389,1,7,0.981453,1,2,73.8,0,0,1,0,43,0,0,1
124,2,2,2,2,2,2,2,1,1,7,1,0.34153,1,2,0.717582,1,2,60,0,3,0,1,22.9,0,0,1
125,2,1,2,1,2,1,2,1,0,4,7,0.535921,1,1,0.036264,1,2,76.3,0,0,1,0,46.5,0,0,1
126,1,1,1,1,1,1,2,1,0,1,10,0.206577,1,5,0.439573,1,2,65.5,0,2,0,0,29.6,0,0,0
127,2,1,2,2,1,1,2,1,0,3,1,0.01279,1,0,0,0,1,68.7,1,0,1,0,30.9,0,0,1
128,1,2,2,2,2,1,2,1,0,7,1,0.153119,1,1,0.153119,1,2,62,0,0,1,0,29,0,0,0
129,1,1,2,1,1,1,2,1,0,4,2,0.134782,1,3,1.09069,1,2,65.5,1,0,1,0,25.1,0,0,1
130,2,1,1,1,3,3,3,3,0,5,5,0.183902,1,6,0.346364,1,2,62.3,1,0,1,0,27.5,3,1,1
131,3,1,3,2,3,3,2,2,0,3,1,0.128117,1,1,0.09948,1,1,59.7,1,0,1,0,26.9,0,0,0
132,1,2,1,1,2,2,3,2,0,5,1,0.127575,1,1,0.127575,1,2,48.8,0,0,1,0,8.8,2,1,0
133,2,2,2,1,2,2,2,2,0,7,9,0.150018,1,5,0.365285,1,2,57.4,0,2,0,0,19.5,0,0,0
134,2,2,2,2,3,2,2,3,0,8,2,0.565197,1,4,0.902995,1,1,45.3,1,1,0,0,18.5,0,0,1
